spec_id,topic_id,retrieval_level,A_retrieval_ms,A_generation_ms,A_total_ms,B_retrieval_ms,B_evaluator_ms,B_rewrite_cycle_ms,B_generation_ms,B_total_ms,B_path
T1_004,T1,R1,958.7150830000013,1659.2160829999987,2617.931166,419.4080410000005,439.63054199999976,0.0,6042.020292,11903.754332999999,direct
T1_001,T1,R1,921.6865829999961,894.5075419999995,1816.1941249999954,341.91437500000177,240.36412499999926,0.0,5773.771000000011,11361.08812500001,direct
T5_002,T5,R1,831.6772080000021,773.8284170000043,1605.5056250000064,390.47116599999754,259.3890840000199,11053.89333399998,0.0,16707.172625,rewritten_or_fallback
T2_001,T2,R1,705.0706249999621,411.436459000015,1116.507083999977,342.3989169999686,228.46270799999502,0.0,5439.304875000005,11015.251499999977,direct
T7_003,T7,R1,730.0612910000268,871.971459000008,1602.0327500000349,361.9935840000039,470.70629099999906,0.0,5945.134166999992,11780.691375000004,direct
T3_005,T3,R2,1019.9952500000222,688.6235829999805,1708.6188330000027,400.7627500000126,268.60099999998965,0.0,5591.101958000025,11265.564874999996,direct
T2_007,T2,R2,908.0679169999257,691.745666000088,1599.8135830000138,451.0141670000394,323.55374999997366,0.0,5557.443416999945,11333.468874999995,direct
T2_005,T2,R2,965.1170829999955,575.8772919999728,1540.9943749999684,472.48575000003257,464.7672920000332,0.0,5632.775290999916,11575.127167000006,direct
T6_007,T6,R2,950.8516669999381,752.7953750000052,1703.6470419999432,528.8276659999838,281.4255419999654,0.0,5655.587833000027,11470.932415999981,direct
T2_004,T2,R2,862.7787919999719,708.3986249999725,1571.1774169999444,373.60037500002363,258.8041249999833,0.0,5864.401749999956,11501.90545800001,direct
T5_008,T5,R3,873.2255830000213,943.5210840000536,1816.746667000075,487.67279199989844,320.4392080000389,0.0,6062.969500000008,11875.643082999999,direct
T3_018,T3,R3,1040.8014580000327,1075.480041999981,2116.2815000000137,469.8388750000504,373.5834999999952,0.0,5928.689084000098,11781.749209000054,direct
T1_010,T1,R3,962.250708000056,1150.4129579998335,2112.6636659998894,451.8769159999465,258.41883399994003,0.0,6369.489375000057,12081.26441599984,direct
T1_009,T1,R3,976.7014999999901,729.0454589999626,1705.7469589999528,512.5967919998402,225.59787500017592,10928.556249999929,0.0,16671.87237500002,rewritten_or_fallback
T2_008,T2,R3,1920.9299169999667,631.0855829999582,2552.015499999925,461.319291999871,260.07108299995707,11125.26637499991,0.0,16851.768499999933,rewritten_or_fallback
T2_019,T2,R4,902.9996249998931,1153.8044579999678,2056.804082999861,486.88987500008807,255.18129200008843,10960.663875000137,0.0,16704.74008300016,rewritten_or_fallback
T6_017,T6,R4,904.4355000000905,747.2284579998814,1651.663957999972,496.54804199985847,288.25191700002506,0.0,5821.321083000157,11610.439584000005,direct
T5_009,T5,R4,794.5022919998337,1117.6960420000341,1912.1983339998678,475.7243330000165,265.6229169999733,0.0,6270.372124999994,12014.74291600016,direct
T1_011,T1,R4,878.4255420000591,692.3472500000116,1570.7727920000707,422.9250419998607,374.2795830000887,0.0,5767.776041999923,11570.075749999887,direct
T6_016,T6,R4,1003.8117500000681,1215.0632499999574,2218.8750000000255,440.83258300020134,337.615458999835,0.0,6202.384166000002,11982.503125000221,direct
