spec_id,topic_id,retrieval_level,A_retrieval_ms,A_generation_ms,A_total_ms,B_retrieval_ms,B_evaluator_ms,B_rewrite_cycle_ms,B_generation_ms,B_total_ms,B_path
T1_004,T1,R1,924.7842079999984,1572.0498340000013,2496.8340419999995,471.46237500000154,263.5064169999986,0.0,6174.538708,11914.539417,direct
T1_001,T1,R1,804.2648329999906,636.8582090000103,1441.123042000001,370.45099999998854,282.8037090000066,0.0,5782.930707999995,11441.289791999992,direct
T5_002,T5,R1,788.8781669999787,762.1397080000065,1551.0178749999852,405.39658300002657,273.96387499999264,11021.379625000009,0.0,16705.14958300001,rewritten_or_fallback
T2_001,T2,R1,360.81562500001496,796.2196659999847,1157.0352909999997,369.46666700001174,311.31441599998766,0.0,5686.545333999988,11372.421207999992,direct
T7_003,T7,R1,751.1899589999871,868.1917910000152,1619.3817500000023,322.89245900000196,253.6352500000021,0.0,5885.576415999993,11465.802167000049,direct
T3_005,T3,R2,802.3699169999645,922.2052080000367,1724.5751250000012,440.719458999979,309.21712500003196,0.0,5715.436624999995,11470.36779199999,direct
T2_007,T2,R2,949.389750000023,669.4329590000052,1618.8227090000282,472.0432080000023,351.9138749999797,0.0,5542.2653329999885,11372.270125,direct
T2_005,T2,R2,799.8475840000197,718.368957999985,1518.2165420000047,432.65462499999785,318.9838750000149,0.0,5704.993333000004,11458.272000000023,direct
T6_007,T6,R2,860.4331660000071,652.8895420000254,1513.3227080000324,416.50283299998136,262.6545839999608,0.0,5686.736125000039,11373.858832999986,direct
T2_004,T2,R2,814.6617079999032,678.7429170000223,1493.4046249999255,431.528209000021,252.2295829999166,0.0,5768.137958000011,11461.978458999965,direct
T5_008,T5,R3,894.4828329999837,1061.5481669999554,1956.030999999939,426.82220799997594,276.2438749999774,0.0,6169.30887500007,11880.368915999952,direct
T3_018,T3,R3,866.5681669999685,1158.9078749999544,2025.476041999923,498.5498749999806,288.16358300002776,0.0,6079.755209000041,11876.910250000037,direct
T1_010,T1,R3,874.8220000001083,1118.3829579999838,1993.2049580000921,425.1289579999593,270.6372500000498,0.0,6369.580958000029,12072.816833000048,direct
T1_009,T1,R3,835.1682500000379,613.9879999999494,1449.1562499999873,465.3184159999455,251.46349999999984,10922.473583000055,0.0,16647.404749999965,rewritten_or_fallback
T2_008,T2,R3,442.2351670000353,747.3000410000168,1189.535208000052,428.98875000003045,260.9995829999434,11260.101917000044,0.0,16956.59616599994,rewritten_or_fallback
T2_019,T2,R4,457.43404199993165,1051.1735000000044,1508.607541999936,418.21699999991324,303.0396250001104,11004.039667000143,0.0,16735.422125000012,rewritten_or_fallback
T6_017,T6,R4,470.0803329999417,837.884208000105,1307.9645410000467,427.2268750000876,272.87583299994367,0.0,5767.749124999909,11475.687666000113,direct
T5_009,T5,R4,1008.383374999994,1044.8242499999196,2053.2076249999136,429.4675000001007,330.5609579999782,0.0,6144.968124999878,11915.100582999912,direct
T1_011,T1,R4,807.6183749999473,679.8378749999756,1487.4562499999229,401.37141700006396,256.3204159998804,0.0,5699.261417000116,11357.740166999974,direct
T6_016,T6,R4,912.5535419998414,1320.1571670001613,2232.7107090000027,453.34295800012114,252.08304199986742,0.0,6270.543250000173,11986.085583000204,direct
