keep_top,faithfulness,answer_relevancy,context_precision,context_recall
7,0.46495991196923764,0.6641159356980849,0.7998925264208556,0.6951719576719576
15,0.476288302975946,0.6678482976009908,0.726455127604149,0.8418981481481481
20,0.4622350697673973,0.6382860486997564,0.6984423385419226,0.8940972222222223
